Id,area_primeiro_andar,existe_segundo_andar,area_segundo_andar,quantidade_banheiros,capacidade_carros_garagem,qualidade_da_cozinha_Excelente,preco_de_venda
1,79.52239999999999,1,79.33659999999999,2,50.910442214790045,0,1.027905e6
2,117.2398,0,0.0,2,42.73504273504274,0,894795.0
3,85.468,1,80.45139999999999,2,56.48457822370866,0,1.101855e6
4,89.2769,1,70.2324,1,59.64325529542921,0,690200.0
5,106.3705,1,97.8237,2,77.66629505759941,0,1.2325e6
6,73.94839999999999,1,52.5814,1,44.593088071348944,0,704990.0
7,157.3726,0,0.0,2,59.08584169453735,0,1.51351e6
8,102.8403,1,91.3207,2,44.964697138610184,0,986000.0
9,94.9438,1,69.8608,2,43.47826086956522,0,640407.0
10,100.0533,0,0.0,1,19.04496469713861,0,581740.0
11,96.616,0,0.0,1,35.67447045707915,0,638435.0
12,109.8078,1,106.0918,3,68.37606837606837,1,1.70085e6
13,84.7248,0,0.0,1,32.70159791898922,0,709920.0
14,138.7926,0,0.0,2,78.03790412486065,0,1.377935e6
15,116.4037,0,0.0,1,32.70159791898922,0,774010.0
16,79.33659999999999,0,0.0,1,53.51170568561873,0,650760.0
17,93.2716,0,0.0,1,44.593088071348944,0,734570.0
18,120.3984,0,0.0,2,47.937569676700114,0,443700.0
19,103.4906,0,0.0,1,53.51170568561873,0,783870.0
20,124.3931,0,0.0,1,27.313266443701227,0,685270.0
21,107.5782,1,113.1522,3,79.24563359345969,0,1.603729e6
22,102.9332,0,0.0,1,26.012634708286885,0,687242.0
23,166.75549999999998,0,0.0,2,49.6098104793757,0,1.1339e6
24,98.474,0,0.0,1,53.14009661835749,0,640407.0
25,98.474,0,0.0,1,25.08361204013378,0,759220.0
26,148.64,0,0.0,2,82.68301746562616,0,1.263559e6
27,83.61,0,0.0,1,53.51170568561873,0,664564.0
28,158.3016,0,0.0,2,71.72054998141955,0,1.50858e6
29,148.64,0,0.0,1,29.635823114083987,0,1.022975e6
30,48.308,0,0.0,1,22.296544035674472,0,337705.0
31,60.2921,1,62.0572,1,23.225566703827575,0,197200.0
32,114.0812,0,0.0,1,25.17651430694909,0,736295.5
33,114.6386,0,0.0,2,44.964697138610184,0,886907.0
34,157.93,0,0.0,1,41.527313266443706,0,815915.0
35,145.0169,0,0.0,2,51.653660349312524,1,1.368075e6
36,105.1628,1,122.628,3,64.19546636937942,0,1.52337e6
37,101.9113,0,0.0,1,62.43032329988852,0,714850.0
38,120.4913,0,0.0,1,46.265328874024526,0,754290.0
39,98.1953,0,0.0,1,22.853957636566335,0,537370.0
40,107.0208,0,0.0,2,0.0,0,404260.0
41,122.9996,0,0.0,2,40.876997398736535,0,788800.0
42,123.3712,0,0.0,1,28.613898179115573,0,838100.0
43,82.1236,0,0.0,1,46.82274247491639,0,709920.0
44,87.1402,0,0.0,1,28.613898179115573,0,642132.5
45,106.835,0,0.0,1,27.87068004459309,0,695130.0
46,162.7608,0,0.0,2,53.51170568561873,1,1.577107e6
47,141.0222,1,58.6199,1,62.2445187662579,0,1.18165198e6
48,153.8424,0,0.0,2,76.7372723894463,0,1.231021e6
49,68.3744,1,66.5164,2,0.0,0,557090.0
50,88.7195,0,0.0,1,35.860274990709776,0,626110.0
51,73.76259999999999,1,62.8004,2,36.0460795243404,0,872610.0
52,75.8064,0,0.0,1,49.05239687848384,0,564485.0
53,75.8064,0,0.0,1,47.937569676700114,0,542300.0
55,126.344,0,0.0,1,53.14009661835749,0,640900.0
56,132.3825,0,0.0,2,53.51170568561873,0,889865.0
57,91.3207,1,70.2324,2,44.593088071348944,0,850425.0
58,79.89399999999999,1,79.89399999999999,2,52.48978075065032,0,968745.0
60,72.462,0,0.0,1,32.70159791898922,0,615757.0
61,107.5782,0,0.0,1,53.51170568561873,0,778940.0
62,53.9749,1,49.237,1,26.755852842809364,0,497930.0
63,127.273,0,0.0,2,44.964697138610184,0,998325.0
64,83.7958,1,75.0632,2,44.593088071348944,0,690200.0
65,98.1953,1,90.7633,2,59.921962095875145,0,1.082135e6
66,106.1847,1,123.557,2,79.15273132664437,0,1.56281e6
67,205.0303,0,0.0,2,53.51170568561873,0,887400.0
68,137.3991,0,0.0,2,51.83946488294315,0,1.11418e6
69,69.3963,0,0.0,1,20.438498699368267,0,394400.0
70,121.1416,1,91.3207,2,61.96581196581197,0,1.10925e6
71,206.5167,0,0.0,2,47.937569676700114,0,1.20292e6
72,78.5005,0,0.0,1,33.44481605351171,0,638435.0
73,82.2165,1,77.3857,2,39.6692679301375,0,912050.0
74,100.8894,0,0.0,1,45.52211073950205,0,714357.0
75,78.036,1,71.0685,2,35.209959123002605,0,529482.0
76,48.8654,1,42.9198,1,27.59197324414716,0,448630.0
77,88.4408,0,0.0,1,26.291341508732813,0,669247.5
78,99.5888,1,19.7877,1,22.296544035674472,0,626110.0
79,164.2472,0,0.0,2,0.0,0,672945.0
80,63.3578,1,50.9092,1,40.876997398736535,0,542300.0
81,109.8078,1,89.184,2,47.28725380899294,0,953955.0
